feature,importance
numeric__covered,0.15486589
numeric__pdc_average,0.102345936
numeric__previous_pdc_180,0.087186165
numeric__preferred_status,0.079425246
numeric__estimated_patient_cost,0.056983363
numeric__access_friction_score,0.04259157
numeric__formulary_tier,0.03374447
numeric__out_of_pocket_cost,0.033578478
numeric__current_medication_count,0.031218985
numeric__concurrent_medications_count,0.030090842
numeric__concurrent_medication_ratio,0.025709692
numeric__refill_gap_average,0.022459172
numeric__refill_gap_days_180,0.02019025
numeric__refill_gap_days_90,0.018642899
numeric__previous_pdc_365,0.018105742
numeric__refill_gap_trend,0.013675266
numeric__medication_burden_ratio,0.01267308
numeric__patient_coinsurance,0.008021178
numeric__prior_auth_required,0.0067758444
numeric__quantity_limit,0.006195716
numeric__prior_medication_count,0.0037577227
categorical__indication_Osteopenia / Calcium Deficiency / Bone Support,0.003582862
numeric__active_chronic_count,0.003450517
categorical__indication_Asthma / Allergic Rhinitis,0.0033763368
numeric__payer_coverage_amount,0.003229626
categorical__indication_Herpes Zoster / Genital Herpes Prophylaxis,0.003114694
categorical__indication_Major Depressive Disorder / Panic Disorder,0.003027884
numeric__coverage_gap,0.0030200395
categorical__indication_Herpes Simplex / Varicella Zoster Infection,0.0030088823
categorical__indication_Rheumatoid Arthritis / Psoriasis / Oncology,0.0029807084
numeric__in_network,0.0029648303
categorical__indication_Postmenopausal Osteoporosis,0.002951968
numeric__prior_abandonment_count_12m,0.0028970772
categorical__indication_Epilepsy / Bipolar Mania / Migraine Prophylaxis,0.002896343
categorical__indication_Severe Hyperlipidemia / Familial,0.0028926996
categorical__indication_Asthma / COPD Maintenance,0.002891865
numeric__total_conditions_prior,0.0028760992
categorical__indication_COPD Maintenance,0.0028321438
categorical__indication_Influenza A & B Acute Treatment,0.0028033822
categorical__indication_Onychomycosis / Tinea Infections,0.0027901179
numeric__outpatient_visits_prior_12m,0.00278458
categorical__indication_Major Depressive Disorder / Anxiety,0.0027766607
categorical__indication_Neuropathic Pain / Postherpetic Neuralgia,0.0027242252
categorical__indication_Bacterial Infection,0.0027029708
categorical__indication_Type 2 Diabetes Mellitus,0.00269874
categorical__gender_M,0.002678027
categorical__indication_Atrial Fibrillation / Ventricular Arrhythmia,0.0026719416
numeric__step_therapy_required,0.0026657134
categorical__indication_Depression / Diabetic Neuropathy / Fibromyalgia,0.002647733
categorical__indication_Bacterial / Respiratory Infection,0.0026430476
categorical__indication_Diabetes Mellitus,0.0026220276
categorical__indication_Epilepsy / Seizure Disorder,0.0026146402
categorical__indication_Asthma / Bronchospasm,0.0026109407
numeric__payer_coverage_ratio,0.0025835913
categorical__indication_Musculoskeletal Pain / Arthritis,0.0025599694
categorical__indication_Major Depressive Disorder / Generalized Anxiety,0.0025454734
categorical__indication_Severe Hypertriglyceridemia,0.0025411523
numeric__cost_burden,0.0025289897
categorical__indication_GERD / Peptic Ulcer Disease,0.0025223254
numeric__prior_episodes_this_drug,0.0025056012
categorical__indication_Allergic Symptoms / Common Cold Pruritus,0.0024975168
numeric__patient_age,0.0024968954
numeric__patient_copay,0.0024934777
categorical__indication_Urinary Tract / Systemic Infection,0.0024903778
numeric__deductible_remaining,0.0024655724
categorical__indication_Allergic Rhinitis / Chronic Urticaria,0.002461634
categorical__indication_Hyperlipidemia,0.002456392
numeric__inpatient_visits_prior_12m,0.0024545684
numeric__emergency_visits_prior_12m,0.0024112386
categorical__indication_Depression / Neuropathic Pain / Prophylaxis,0.0023962702
categorical__indication_Organ Transplant Rejection Prophylaxis,0.0023916962
numeric__previous_therapy_duration_days,0.0023873155
categorical__indication_Candidiasis / Systemic Fungal Infection,0.0023863164
numeric__pdc_trend,0.0023798693
categorical__indication_Colorectal / Gastric / Pancreatic Cancer,0.0023681012
numeric__total_encounters_prior_12m,0.0023637747
numeric__previous_failed_therapy,0.0022641525
categorical__indication_Rheumatoid Arthritis / Crohn's Disease / Psoriasis,0.002242645
categorical__indication_Coronary Artery Disease / Stroke Prevention,0.0022358133
categorical__indication_Major Depressive Disorder / Smoking Cessation,0.0021830467
categorical__indication_Nausea / Vomiting Prevention,0.0021747216
numeric__preferred_pharmacy,0.0021727874
categorical__gender_F,0.0021456047
categorical__indication_GERD / Erosive Esophagitis,0.0021407197
categorical__indication_COPD / Bronchospasm,0.0021404377
numeric__prior_switch_count_12m,0.002016203
categorical__indication_GERD / Gastric Hyperacidity,0.0020109701
categorical__indication_Hypertension,0.0020096768
categorical__indication_Hypertension / Heart Failure,0.001980079
categorical__indication_Breast Cancer Treatment / Prevention,0.0019242972
numeric__previous_same_class_medication,0.0018984305
categorical__indication_Heart Failure,0.0018599154
categorical__indication_High-Risk Osteoporosis,0.0018450445
categorical__indication_Acute Lymphoblastic Leukemia / Inflammatory Bowel,0.0018152668
categorical__indication_Respiratory Infection,0.0017739282
categorical__indication_Mild to Moderate Pain / Inflammation,0.0016802882
categorical__indication_Atrial Fibrillation / DVT Prevention,0.0014104613
categorical__indication_Chronic Myeloid Leukemia,0.0007205553
categorical__indication_Pain / Fever Relief,0.0
categorical__indication_Epilepsy / Bipolar Disorder,0.0
categorical__indication_Osteoarthritis / Acute Inflammatory Pain,0.0
categorical__indication_Seasonal Allergic Rhinitis,0.0
categorical__indication_Epilepsy / Trigeminal Neuralgia,0.0
categorical__indication_Severe Invasive Fungal Infection / Aspergillosis,0.0
categorical__indication_Tonic-Clonic & Complex Partial Seizures,0.0
categorical__indication_Colorectal / Breast Cancer,0.0
